FID,OperatorNa,Shape_Leng
2336,Northern Natural Gas Co,0.178432
2337,El Paso Texas Pipeline Co,0.023376
2338,Oasis Gas Pipeline Co,0.093716
2339,El Paso Texas Pipeline Co,0.170305
2340,Northern Natural Gas Co,0.100608
2341,Oasis Gas Pipeline Co,0.060992
2342,El Paso Texas Pipeline Co,0.036895
2343,El Paso Texas Pipeline Co,0.082636
2344,Northern Natural Gas Co,0.143283
2345,Oasis Gas Pipeline Co,0.086073
2346,El Paso Texas Pipeline Co,0.058737
2347,El Paso Texas Pipeline Co,0.06563
2348,El Paso Texas Pipeline Co,0.026746
2349,Northern Natural Gas Co,0.219904
2350,Oasis Gas Pipeline Co,0.167362
2351,El Paso Texas Pipeline Co,0.091818
2352,Northern Natural Gas Co,0.254208
2353,El Paso Texas Pipeline Co,0.080092
2354,Oasis Gas Pipeline Co,0.080998
2355,El Paso Texas Pipeline Co,0.161066
2356,Northern Natural Gas Co,0.189123
2357,El Paso Texas Pipeline Co,0.080925
2358,El Paso Texas Pipeline Co,0.065004
2359,Northern Natural Gas Co,0.155287
2360,Oasis Gas Pipeline Co,0.202458
2361,El Paso Texas Pipeline Co,0.155602
2362,Northern Natural Gas Co,0.245256
2363,El Paso Texas Pipeline Co,0.036446
2364,Oasis Gas Pipeline Co,0.094737
2365,El Paso Texas Pipeline Co,0.182069
2366,El Paso Texas Pipeline Co,0.041509
2367,Oasis Gas Pipeline Co,0.02474
2368,Oasis Gas Pipeline Co,0.145571
2369,El Paso Texas Pipeline Co,0.305218
2370,Oasis Gas Pipeline Co,0.023522
2371,El Paso Texas Pipeline Co,0.187195
2372,Oasis Gas Pipeline Co,0.036948
2373,Oasis Gas Pipeline Co,0.013899
2374,El Paso Texas Pipeline Co,0.153003
2375,Oasis Gas Pipeline Co,0.094408
2376,El Paso Texas Pipeline Co,0.061867
2377,Oasis Gas Pipeline Co,0.007301
2378,Oasis Gas Pipeline Co,0.064027
2379,El Paso Texas Pipeline Co,0.130404
2380,El Paso Texas Pipeline Co,0.070562
2381,Oasis Gas Pipeline Co,0.01666
2382,El Paso Texas Pipeline Co,0.073411
2383,El Paso Texas Pipeline Co,0.090213
2384,Oasis Gas Pipeline Co,0.006513
2385,El Paso Texas Pipeline Co,0.061553
2386,Oasis Gas Pipeline Co,0.05409
2387,Oasis Gas Pipeline Co,0.008621
2388,El Paso Texas Pipeline Co,0.071218
2389,Oasis Gas Pipeline Co,0.041233
2390,Oasis Gas Pipeline Co,0.008134
2391,El Paso Texas Pipeline Co,0.065033
2392,Oasis Gas Pipeline Co,0.074177
2393,Oasis Gas Pipeline Co,0.021085
2394,El Paso Texas Pipeline Co,0.126462
2395,Oasis Gas Pipeline Co,0.296041
2396,El Paso Texas Pipeline Co,0.1056
2397,Oasis Gas Pipeline Co,0.288196
2398,El Paso Texas Pipeline Co,0.049575
2399,El Paso Texas Pipeline Co,0.043698
2400,El Paso Texas Pipeline Co,0.120051
2401,Oasis Gas Pipeline Co,0.299327
2402,El Paso Texas Pipeline Co,0.213494
2403,El Paso Texas Pipeline Co,0.077851
2404,Oklahoma Texas Gas Co,0.003502
2405,Kinder Morgan Texas Pipeline Co,0.166332
2406,El Paso Texas Pipeline Co,0.073035
2407,Oklahoma Texas Gas Co,0.001896
2408,Kinder Morgan Texas Pipeline Co,0.040064
2409,El Paso Texas Pipeline Co,0.286109
2410,Oklahoma Texas Gas Co,0.025184
2411,Kinder Morgan Texas Pipeline Co,0.048294
2412,Oklahoma Texas Gas Co,0.07729
2413,El Paso Texas Pipeline Co,0.22725
2414,Kinder Morgan Texas Pipeline Co,0.076559
2415,Kinder Morgan Texas Pipeline Co,0.126144
2416,El Paso Texas Pipeline Co,0.041458
2417,CenterPoint Energy GasTrans Co,0.083504
2418,El Paso Texas Pipeline Co,0.034172
2419,Kinder Morgan Texas Pipeline Co,0.093321
2420,CenterPoint Energy GasTrans Co,0.076948
2421,Kinder Morgan Texas Pipeline Co,0.128576
2422,El Paso Texas Pipeline Co,0.019251
2423,CenterPoint Energy GasTrans Co,0.103828
2424,Kinder Morgan Texas Pipeline Co,0.078383
2425,El Paso Texas Pipeline Co,0.23434
2426,CenterPoint Energy GasTrans Co,0.152715
2427,Kinder Morgan Texas Pipeline Co,0.082678
2428,El Paso Texas Pipeline Co,0.149817
2429,CenterPoint Energy GasTrans Co,0.000361
2430,El Paso Texas Pipeline Co,0.098863
2431,Tennessee Gas Pipeline,0.04804
2432,Kinder Morgan Texas Pipeline Co,6.2545
2433,ONEOK Westex Pipeline,0.068352
2434,El Paso Texas Pipeline Co,0.025072
2435,Kinder Morgan Texas Pipeline Co,0.365745
2436,El Paso Texas Pipeline Co,0.026399
2437,ONEOK Westex Pipeline,0.5248
2438,Kinder Morgan Texas Pipeline Co,0.146983
2439,El Paso Texas Pipeline Co,0.027512
2440,Kinder Morgan Texas Pipeline Co,0.091643
2441,ONEOK Westex Pipeline,0.334848
2442,El Paso Texas Pipeline Co,0.022127
2443,Kinder Morgan Texas Pipeline Co,0.03647
2444,ONEOK Westex Pipeline,0.442112
2445,El Paso Texas Pipeline Co,0.043491
